Name	GS	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
RNA POLYMERASE I PROMOTER OPENING%REACTOME%REACT_2232.2	RNA POLYMERASE I PROMOTER OPENING%REACTOME%REACT_2232.2	Details ...	57	5.10060567	18.1459945	0.01	0.01	0.101428571428571	7388	tags=96%, list=24%, signal=126%
MEIOTIC RECOMBINATION%REACTOME%REACT_27271.1	MEIOTIC RECOMBINATION%REACTOME%REACT_27271.1	Details ...	80	4.44726084	16.6261499	0.01	0.01	0.138714285714286	7196	tags=78%, list=25%, signal=102%
PACKAGING OF TELOMERE ENDS%REACTOME%REACT_7963.3	PACKAGING OF TELOMERE ENDS%REACTOME%REACT_7963.3	Details ...	49	4.90410141	17.0407441	0.01	0.01	0.14	7388	tags=88%, list=24%, signal=115%
RNA POLYMERASE I CHAIN ELONGATION%REACTOME%REACT_2204.1	RNA POLYMERASE I CHAIN ELONGATION%REACTOME%REACT_2204.1	Details ...	72	4.44492053	16.2776639	0.01	0.01	0.0938571428571429	7388	tags=86%, list=26%, signal=115%
AMYLOIDS%REACTOME%REACT_75925.1	AMYLOIDS%REACTOME%REACT_75925.1	Details ...	75	3.7388025	14.1868048	0.01	0.01	0.017	4074	tags=81%, list=24%, signal=106%
RNA POLYMERASE I TRANSCRIPTION%REACTOME%REACT_1309.1	RNA POLYMERASE I TRANSCRIPTION%REACTOME%REACT_1309.1	Details ...	80	4.20921799	15.7032349	0.01	0.01	0.119	7388	tags=83%, list=27%, signal=112%
DIGESTION%GO%GO:0007586	DIGESTION%GO%GO:0007586	Details ...	64	0.65289074	2.5209656	0.01	0.01	0	2238	tags=48%, list=14%, signal=56%
RNA POLYMERASE I PROMOTER CLEARANCE%REACTOME%REACT_1974.2	RNA POLYMERASE I PROMOTER CLEARANCE%REACTOME%REACT_1974.2	Details ...	78	4.26257893	15.765631	0.01	0.01	0.0971428571428572	7388	tags=82%, list=27%, signal=112%
GENERIC TRANSCRIPTION PATHWAY%REACTOME%REACT_12627.3	GENERIC TRANSCRIPTION PATHWAY%REACTOME%REACT_12627.3	Details ...	406	1.0233189	4.0903303	0.01	0.01	0.4	5349	tags=43%, list=23%, signal=55%
RNA POLYMERASE I, RNA POLYMERASE III, AND MITOCHONDRIAL TRANSCRIPTION%REACTOME%REACT_21352.3	RNA POLYMERASE I, RNA POLYMERASE III, AND MITOCHONDRIAL TRANSCRIPTION%REACTOME%REACT_21352.3	Details ...	119	3.19660129	12.0234851	0.01	0.01	0.239333333333333	7245	tags=70%, list=27%, signal=95%
O-LINKED GLYCOSYLATION OF MUCINS%REACTOME%REACT_115606.1	O-LINKED GLYCOSYLATION OF MUCINS%REACTOME%REACT_115606.1	Details ...	47	0.6418741	2.3578932	0.01	0.01	0	2339	tags=38%, list=14%, signal=44%
TELOMERE MAINTENANCE%REACTOME%REACT_7970.4	TELOMERE MAINTENANCE%REACTOME%REACT_7970.4	Details ...	76	4.10487793	15.1518043	0.01	0.01	0.127714285714286	6693	tags=76%, list=27%, signal=104%
O-GLYCAN PROCESSING%GO%GO:0016266	O-GLYCAN PROCESSING%GO%GO:0016266	Details ...	44	0.6514667	2.3505614	0.01	0.01	0	2339	tags=41%, list=14%, signal=48%
CHROMATIN ASSEMBLY%GO%GO:0031497	CHROMATIN ASSEMBLY%GO%GO:0031497	Details ...	77	4.11435832	15.1765776	0.01	0.01	0.132714285714286	6693	tags=70%, list=27%, signal=96%
PEPTIDE HORMONE PROCESSING%GO%GO:0016486	PEPTIDE HORMONE PROCESSING%GO%GO:0016486	Details ...	31	1.22681286	4.2370478	0.01	0.01	0.319	1720	tags=48%, list=5%, signal=51%
DEPOSITION OF NEW CENPA-CONTAINING NUCLEOSOMES AT THE CENTROMERE%REACTOME%REACT_22186.2	DEPOSITION OF NEW CENPA-CONTAINING NUCLEOSOMES AT THE CENTROMERE%REACTOME%REACT_22186.2	Details ...	60	3.92643757	14.3632711	0.01	0.01	0.000333333333333333	4627	tags=77%, list=27%, signal=105%
MEIOSIS%REACTOME%REACT_111183.1	MEIOSIS%REACTOME%REACT_111183.1	Details ...	108	3.76496427	14.4674676	0.01	0.01	0.160142857142857	7196	tags=66%, list=25%, signal=87%
NUCLEOSOME ASSEMBLY%GO%GO:0006334	NUCLEOSOME ASSEMBLY%GO%GO:0006334	Details ...	69	4.25107693	15.5671546	0.01	0.01	0.132428571428571	6693	tags=72%, list=27%, signal=99%
NUCLEOSOME ASSEMBLY%REACTOME%REACT_22344.1	NUCLEOSOME ASSEMBLY%REACTOME%REACT_22344.1	Details ...	60	3.92643757	14.3691578	0.01	0.01	0.000333333333333333	4627	tags=77%, list=27%, signal=105%
MATURITY ONSET DIABETES OF THE YOUNG%KEGG%HSA04950	MATURITY ONSET DIABETES OF THE YOUNG%KEGG%HSA04950	Details ...	21	1.44201414	4.3182919	0.01	0.01	0.0265	1696	tags=29%, list=10%, signal=32%
DNA PACKAGING%GO%GO:0006323	DNA PACKAGING%GO%GO:0006323		99	3.42064037	12.6852438	0.01	0.01	0.138833333333333	6693	tags=65%, list=27%, signal=88%
PROTEIN-DNA COMPLEX ASSEMBLY%GO%GO:0065004	PROTEIN-DNA COMPLEX ASSEMBLY%GO%GO:0065004		83	3.95285598	14.6621731	0.01	0.01	0.207857142857143	6693	tags=70%, list=27%, signal=96%
MEIOTIC SYNAPSIS%REACTOME%REACT_75792.1	MEIOTIC SYNAPSIS%REACTOME%REACT_75792.1		72	3.97820501	14.5982913	0.01	0.01	0.151714285714286	6942	tags=71%, list=25%, signal=94%
MUCIN TYPE O-GLYCAN BIOSYNTHESIS%KEGG%HSA00512	MUCIN TYPE O-GLYCAN BIOSYNTHESIS%KEGG%HSA00512		25	0.70328695	2.2230954	0.01	0.01	0.002	2339	tags=48%, list=14%, signal=56%
PROTEIN-DNA COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071824	PROTEIN-DNA COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071824		103	3.31038511	12.2358647	0.01	0.01	0.1445	6693	tags=66%, list=27%, signal=90%
